tieId,decision,kind,direction,label,inverseLabel,decisionReference,note
preview:person-rel:8e40365f3332f3,relationship,collaborated-with,a-to-b,"Dr. Eugene Jordan and Khalid Samad were longtime collaborators and close community allies in Cleveland’s Black civic and cultural life. Together they helped promote early Juneteenth celebrations in Northeast Ohio and were regular participants in Cleveland’s Black History Month traditions, including the annual flag-raising at City Hall. Their work repeatedly intersected around Black history, youth and community advocacy, cultural remembrance, and the African American Cultural Garden.",,connections-review-2026-09-24,longtime collaborator / fellow activist / community ally. Reviewed by Tony Yanick in the staff review app.
preview:person-rel:9461272745110b,relationship,founded-with,a-to-b,"Dr. Jaya Shah and Mona Alag were longtime community collaborators and co-founders of Helping Hands, an organization created to support members of Northeast Ohio’s Indian community facing medical, family, immigration, domestic violence, and other crises. Their shared volunteer work became part of a broader network of service within Cleveland’s Indian community and the Federation of India Community Associations (FICA).",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:4f74dddf1bb11e,context,,,"Mona Alag and Jim Craciun were fellow members of the Cleveland International Hall of Fame’s 2017 class and longtime participants in Cleveland’s multicultural civic community. Representing the Indian and Romanian communities respectively, both helped strengthen the city’s ethnic and cultural networks and were recognized together for their community service and advocacy.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:e5a2d89b283fa7,relationship,succeeded,a-to-b,"Berj Shakarian’s work with the Cleveland Cultural Gardens carries forward the vision established by founder Leo Weidenthal. As architect of the Armenian Cultural Garden, a Cultural Gardens Federation board member, and designer of projects including the Centennial Peace Plaza, Shakarian helped extend Weidenthal’s original idea of the Gardens as a place for Cleveland’s diverse communities to represent their cultures while promoting peace and mutual understanding.","Leo Weidenthal’s vision for the Cleveland Cultural Gardens continued through later generations of civic leaders and designers, including architect Berj Shakarian. Shakarian helped expand and reinterpret that legacy through his work on the Armenian Cultural Garden, the Cultural Gardens Federation, and the Centennial Peace Plaza.",connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:3c76d1ff7841cf,relationship,family-of,a-to-b,"Dr. Jaya Shah and her husband, Ramesh Shah, have worked together for decades on humanitarian and medical-service initiatives. Through AIPNO’s Medical Yatra program, they helped organize teams of physicians and volunteers providing care to underserved communities in India and around the world. Both were later inducted into the Cleveland International Hall of Fame, becoming its first married couple to receive the honor.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:22c838ae73948c,relationship,collaborated-with,a-to-b,"Joyce Mariani worked with Mayor Frank Jackson through Cleveland’s Italian cultural and civic community. In 2008, Jackson presented Mariani with the Italian Heritage Award at Cleveland City Hall in recognition of her work restoring the Italian Cultural Garden and promoting Italian arts and culture. The two also participated together in public events at the Italian Cultural Garden during Jackson’s tenure as mayor.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:892660f65aeb45,context,,,"Ramesh Shah and Paramjit Singh were connected through decades of Indian-American civic and community leadership in Northeast Ohio. Singh, a pioneering leader in organizations such as FICA, later personally welcomed Shah into the Cleveland International Hall of Fame and presented him with his Hall of Fame pin, symbolically linking two generations of community service.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:575645cc2e223c,relationship,collaborated-with,a-to-b,"Wael Khoury and Pierre Bejjani have worked together for years through Cleveland’s Cultural Gardens and Middle Eastern civic community. While Khoury served as president of the Cleveland Cultural Gardens Federation, Bejjani served on its executive board, and the two collaborated around initiatives including the development of the Lebanese Cultural Garden and broader efforts celebrating Cleveland’s immigrant and cultural communities.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:e9629e62fb9811,context,,,"Wael Khoury and Seung “Sam” Kim were fellow members of the Cleveland International Hall of Fame’s 2017 class. Representing Cleveland’s Syrian-American and Korean-American communities respectively, both were recognized for decades of cultural leadership, community service, and contributions to the region’s multicultural civic life.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:cc2b7b68c1ddbd,relationship,collaborated-with,a-to-b,"Andy Fedynsky worked closely with Congresswoman Mary Rose Oakar for more than a decade, joining her staff in 1980 and eventually serving as her chief of staff. His work focused on Cleveland development and relationships with the region’s ethnic communities, experience he later drew on in his leadership of the Ukrainian Museum-Archives and Cleveland’s Ukrainian-American community.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:84a82b11be4191,relationship,collaborated-with,a-to-b,"August Pust worked closely with George Voinovich in both city and state government, serving as Voinovich’s Executive Assistant for Ethnic Affairs and International Relations while he was Mayor of Cleveland and later directing multicultural and international affairs in the Ohio Governor’s Office. Their work together helped strengthen Cleveland and Ohio’s relationships with immigrant, ethnic, and international communities.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:dae721bffb7476,relationship,collaborated-with,a-to-b,"Basil Russo shared a strong civic, cultural, and Catholic connection with Bishop Anthony Pilla. In 1995, Russo helped lead the creation of the Bishop Anthony Pilla Italian American Studies Program at John Carroll University, preserving Pilla’s legacy through the study of Italian-American history and culture. Russo also served in leadership roles within the Cleveland Catholic Diocese, further connecting their work in the city’s religious and Italian-American communities.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:b31ed91caf948b,context,,,Basil Russo and Jim Craciun were fellow members of the Cleveland International Hall of Fame’s 2017 class and part of Cleveland’s broader ethnic and cultural civic network. Both were recognized for longstanding leadership within their respective communities and contributions to the city’s multicultural life.,,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:953a64d58e4ad8,context,,,Basil Russo and Mona Alag were fellow members of the Cleveland International Hall of Fame’s 2017 class. Both were recognized for longstanding leadership in Cleveland’s ethnic and multicultural communities and became part of the same cross-cultural civic network through the Hall of Fame.,,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:a40112ef729606,relationship,collaborated-with,a-to-b,"Erika Puussaar and Ingrida Bublys worked together for years through Cleveland’s Baltic community, including the Baltic American Committee of Greater Cleveland. Representing the Estonian and Lithuanian communities respectively, they collaborated in preserving Baltic heritage and participating in commemorations, cultural programs, and events throughout the Cleveland Cultural Gardens.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:f48514b32d2e5b,relationship,collaborated-with,a-to-b,"Erika Puussaar and Irene Morrow were connected through Cleveland’s ethnic and nationality organizations, particularly the American Nationalities Movement. Morrow was a longtime leader and past president of the organization, which honored Puussaar with its Freedom Award in 2016 for her service to Cleveland’s Estonian and broader multicultural community.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
